Название;2014;2015;Тип объекта
Алейский муниципальный район;2103747;2763813;Муниципальный район
Алтайский муниципальный район;1710123;2055323;Муниципальный район
Баевский муниципальный район;984909;1642362;Муниципальный район
Бийский муниципальный район;3153810;3682098;Муниципальный район
Благовещенский муниципальный район;1647431;2034004;Муниципальный район
Бурлинский муниципальный район;847129;1082445;Муниципальный район
Быстроистокский муниципальный район;914952;1165981;Муниципальный район
Волчихинский муниципальный район;1592117;2513348;Муниципальный район
Егорьевский муниципальный район;1136181;1510914;Муниципальный район
Ельцовский муниципальный район;426351;501922;Муниципальный район
Завьяловский муниципальный район;1715204;2399798;Муниципальный район
Залесовский муниципальный район;897630;946895;Муниципальный район
Заринский муниципальный район;1900260;2296945;Муниципальный район
Змеиногорский муниципальный район;1430061;1614133;Муниципальный район
Калманский муниципальный район;1288800;2351396;Муниципальный район
Каменский муниципальный район;1388741;2166619;Муниципальный район
Ключевский муниципальный район;1888913;2210823;Муниципальный район
Косихинский муниципальный район;1920704;2088742;Муниципальный район
Красногорский муниципальный район;1178589;1382346;Муниципальный район
Краснощековский муниципальный район;2329235;2572877;Муниципальный район
Крутихинский муниципальный район;1147469;1637821;Муниципальный район
Кулундинский муниципальный район;1196354;1613154;Муниципальный район
Курьинский муниципальный район;949192;1021180;Муниципальный район
Кытмановский муниципальный район;1960586;2555813;Муниципальный район
Локтевский муниципальный район;1968525;2432026;Муниципальный район
Мамонтовский муниципальный район;1957495;2696295;Муниципальный район
Михайловский муниципальный район;1517997;1854968;Муниципальный район
Новичихинский муниципальный район;1270291;1791828;Муниципальный район
Зональный муниципальный район;6874286;8165125;Муниципальный район
Павловский муниципальный район;4713712;5933124;Муниципальный район
Панкрушихинский муниципальный район;1136935;1692291;Муниципальный район
Первомайский муниципальный район;3512450;3717773;Муниципальный район
Петропавловский муниципальный район;1598325;1945006;Муниципальный район
Поспелихинский муниципальный район;2497883;2850955;Муниципальный район
Ребрихинский муниципальный район;3113475;4216529;Муниципальный район
Родинский муниципальный район;2010042;3038045;Муниципальный район
Романовский муниципальный район;1684361;2537584;Муниципальный район
Рубцовский муниципальный район;2559316;2987063;Муниципальный район
Смоленский муниципальный район;2036103;2188755;Муниципальный район
Суетский муниципальный район;662101;931158;Муниципальный район
Советский муниципальный район;2110873;2567028;Муниципальный район
Солонешенский муниципальный район;1077284;1202969;Муниципальный район
Солтонский муниципальный район;683021;1032698;Муниципальный район
Шелаболихинский муниципальный район;1557534;1895019;Муниципальный район
Табунский муниципальный район;850164;1377097;Муниципальный район
Тальменский муниципальный район;3778036;3400514;Муниципальный район
Тогульский муниципальный район;1644849;1789622;Муниципальный район
Топчихинский муниципальный район;2445659;2853794;Муниципальный район
Третьяковский муниципальный район;1939634;2304243;Муниципальный район
Троицкий муниципальный район;1881172;2155984;Муниципальный район
Тюменцевский муниципальный район;1424827;2112105;Муниципальный район
Угловский муниципальный район;928223;1215580;Муниципальный район
Усть-Калманский муниципальный район;1713538;2041815;Муниципальный район
Усть-Пристанский муниципальный район;1436369;1683519;Муниципальный район
Хабарский муниципальный район;1798290;2415514;Муниципальный район
Целинный муниципальный район;2112646;2830768;Муниципальный район
Чарышский муниципальный район;1242801;1286959;Муниципальный район
Шипуновский муниципальный район;3327092;4092450;Муниципальный район
Немецкий национальный муниципальный район;1377250;1761798;Муниципальный район
город Барнаул;20820354,3;23781108,7;Городской округ
город Алейск;410568;351418,1;Городской округ
город Белокуриха;391191,5;440105,6;Городской округ
город Бийск;6764123,5;7143118,4;Городской округ
город Заринск;479441;579551,4;Городской округ
город Новоалтайск;1476191,9;1141033,9;Городской округ
город Рубцовск;1789240,2;2186181,3;Городской округ
город Славгород;527522,6;604573,2;Городской округ
